etiqueta,mensaje
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Nos vemos en la cafetería después del trabajo.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,Nos vemos en la cafetería después del trabajo.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,No olvides la reunión de mañana a las 10 AM.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Qué planes tienes para el próximo feriado?
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Recuerda llevar la documentación para la cita del médico.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Nos vemos en la cafetería después del trabajo.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Nos vemos en la cafetería después del trabajo.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,¿Qué planes tienes para el próximo feriado?
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,¿Puedes enviarme el informe antes de la tarde?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Nos vemos en la cafetería después del trabajo.
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,¿Qué planes tienes para el próximo feriado?
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,Nos vemos en la cafetería después del trabajo.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,Nos vemos en la cafetería después del trabajo.
spam,Somos del servicio técnico de Microsoft. Tu computadora tiene un virus.
ham,Recuerda llevar la documentación para la cita del médico.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Nos vemos en la cafetería después del trabajo.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Recuerda llevar la documentación para la cita del médico.
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,¿Qué planes tienes para el próximo feriado?
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Gana dinero fácil desde casa. Solo necesitas registrarte aquí: http://scam-money.com
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Puedes enviarme el informe antes de la tarde?
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,¡Felicidades! Has ganado un iPhone. Reclámalo aquí: http://fake-url.com
ham,¿Qué planes tienes para el próximo feriado?
spam,¡Compra ahora! Descuento del 80% solo por hoy en nuestra tienda online.
ham,"Voy a llegar un poco tarde, hay mucho tráfico."
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Heredaste una gran suma de dinero. Contáctanos para recibirla.
ham,¿Qué planes tienes para el próximo feriado?
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,Descarga esta app y obtén recompensas exclusivas. Solo disponible hoy.
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,Eres el afortunado ganador de un sorteo. Reclama tu premio ahora.
ham,No olvides la reunión de mañana a las 10 AM.
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,No olvides la reunión de mañana a las 10 AM.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Hola, ¿cómo estás? Espero que tengas un buen día."
spam,"Hola, te envío un préstamo sin intereses. Acepta ahora: http://préstamos-falsos.com"
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,"La película de ayer estuvo increíble, te la recomiendo."
spam,Este mensaje es para informarte que ganaste una tarjeta de regalo.
ham,Recuerda llevar la documentación para la cita del médico.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,Mamá me dijo que estarás en casa este fin de semana.
spam,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com
ham,"Feliz cumpleaños, espero que lo pases genial con tu familia."
ham,URGENTE: Tu cuenta bancaria será bloqueada. Verifica tus datos aquí: http://phishing.com 
